ang,disp
0.09008617234468937, 13.537979
0.09056513026052103, 13.608638
0.0910440881763527, 13.679275
0.09152304609218437, 13.749890
0.09200200400801603, 13.820484
0.0924809619238477, 13.891055
0.09295991983967936, 13.961605
0.09343887775551102, 14.032132
0.09391783567134268, 14.102637
0.09439679358717434, 14.173119
0.094875751503006, 14.243578
0.09535470941883767, 14.314015
0.09583366733466933, 14.384429
0.096312625250501, 14.454820
0.09679158316633266, 14.525187
0.09727054108216432, 14.595532
0.09774949899799598, 14.665852
0.09822845691382764, 14.736149
0.0987074148296593, 14.806423
0.09918637274549097, 14.876672
0.09966533066132263, 14.946898
0.10014428857715431, 15.017099
0.10062324649298597, 15.087276
0.10110220440881763, 15.157428
0.1015811623246493, 15.227556
0.10206012024048096, 15.297660
0.10253907815631262, 15.367738
